Bin	Num
0	999884
1	1.00002e+06
2	999929
3	1.00008e+06
4	999995
5	999948
6	999895
7	1.00017e+06
8	999987
9	999922
10	999966
11	1.00003e+06
12	999921
13	999938
14	999922
15	999957
16	999892
17	999947
18	999978
19	1.00008e+06
20	1.00011e+06
21	1.00002e+06
22	999976
23	999971
24	999873
25	1.00011e+06
26	999929
27	1.00003e+06
28	1e+06
29	999973
30	1.0001e+06
31	999906
32	1.00008e+06
33	1.00001e+06
34	1.00012e+06
35	1.00004e+06
36	1.00007e+06
37	999996
38	1.00003e+06
39	1.00023e+06
40	999995
41	999934
42	1.00006e+06
43	1.00005e+06
44	1.00009e+06
45	1.00014e+06
46	1.00008e+06
47	999902
48	999918
49	999936
50	999867
51	1.00005e+06
52	999918
53	1.00004e+06
54	1.00004e+06
55	1.00006e+06
56	1.00008e+06
57	999921
58	1.00001e+06
59	999975
60	1e+06
61	999903
62	1.00006e+06
63	1.00002e+06
64	999966
65	999896
66	1.00019e+06
67	1.00001e+06
68	1.00016e+06
69	999999
70	999883
71	1.00003e+06
72	999972
73	999916
74	1.00003e+06
75	1.00023e+06
76	1.00009e+06
77	999872
78	999986
79	999959
80	999932
81	999979
82	999958
83	1.00009e+06
84	1.00009e+06
85	1.0001e+06
86	1.00001e+06
87	1.00004e+06
88	999950
89	1.00005e+06
90	999979
91	1.0001e+06
92	999798
93	999955
94	1.00002e+06
95	999913
96	999925
97	999880
98	999938
99	1e+06
